city_id,hexcluster_id,holiday_date,holiday_name,hour,label,lag_week_4,lag_week_5,lag_week_6,lag_week_1,lag_week_2,lag_week_3,matched_ref_val,dow,year
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,2,84.5,132.4,134.416666667,139.533333333,171.2,178.016666667,137.0,98.95,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,3,91.7666666666,137.633333333,143.233333333,81.4833333333,163.7,151.75,139.55,91.25,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,4,149.341666667,182.683333334,151.916666667,60.15,158.433333333,163.066666667,153.9,63.55,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,5,115.4,222.116666667,199.766666667,172.933333333,208.133333333,209.416666666,213.016666667,83.4666666667,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,6,111.083333333,198.6,190.6,191.883333333,156.666666667,157.8,176.866666667,93.1333333333,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,7,116.5,152.083333333,114.366666667,104.533333333,112.866666667,132.45,114.333333333,85.7,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,8,133.133333333,129.266666667,116.416666667,126.416666667,97.8,130.533333333,137.883333333,81.5,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,9,140.05,137.0,132.4,134.416666667,84.5,171.2,178.016666667,100.55,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,10,129.35,139.55,137.633333333,143.233333333,91.7666666666,163.7,151.75,90.15,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,11,140.25,153.9,182.683333334,151.916666667,149.341666667,158.433333333,163.066666667,66.35,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,12,169.2,213.016666667,222.116666667,199.766666667,115.4,208.133333333,209.416666666,78.9666666666,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,13,147.333333333,176.866666667,198.6,190.6,111.083333333,156.666666667,157.8,105.083333333,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,14,116.666666667,114.333333333,152.083333333,114.366666667,116.5,112.866666667,132.45,119.233333333,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,15,128.033333333,137.883333333,129.266666667,116.416666667,133.133333333,97.8,130.533333333,98.8166666667,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,16,152.916666667,178.016666667,137.0,132.4,140.05,84.5,171.2,55.8666666667,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,17,147.266666667,151.75,139.55,137.633333333,129.35,91.7666666666,163.7,63.25,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,18,123.633333333,163.066666667,153.9,182.683333334,140.25,149.341666667,158.433333333,72.6833333333,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,19,151.433333333,209.416666666,213.016666667,222.116666667,169.2,115.4,208.133333333,70.1,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,20,114.683333333,157.8,176.866666667,198.6,147.333333333,111.083333333,156.666666667,110.183333333,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,21,105.55,132.45,114.333333333,152.083333333,116.666666667,116.5,112.866666667,136.7,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,22,132.416666667,130.533333333,137.883333333,129.266666667,128.033333333,133.133333333,97.8,94.6333333333,1,2018
1546,ed9268bf-bacb-4094-90fc-f4036ab87ec5,2018-10-30,Chelum,23,83.6333333333,171.2,178.016666667,137.0,152.916666667,140.05,84.5,132.483333333,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,0,141.8,93.6333333334,119.216666667,112.8,109.85,109.2,142.966666667,98.95,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,1,117.616666667,137.883333333,139.65,130.083333333,142.416666667,144.35,140.5,68.8333333333,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,2,130.683333333,154.116666667,183.45,167.016666667,197.933333333,174.3,185.983333333,81.0,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,3,128.75,180.35,222.266666667,96.7,194.65,197.15,180.5,92.3666666667,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,4,151.883333333,170.166666667,165.516666667,78.85,177.3,177.566666667,179.216666667,64.65,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,5,138.683333333,291.016666667,237.4,204.383333333,213.333333333,236.416666667,241.1,79.45,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,6,131.5,252.266666666,281.5,272.433333333,195.333333333,231.683333334,212.116666666,89.7666666666,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,7,100.983333333,142.966666667,93.6333333334,119.216666667,141.8,109.85,109.2,115.766666667,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,8,127.25,140.5,137.883333333,139.65,117.616666667,142.416666667,144.35,79.6666666667,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,9,129.983333333,185.983333333,154.116666667,183.45,130.683333333,197.933333333,174.3,98.6166666667,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,10,144.283333333,180.5,180.35,222.266666667,128.75,194.65,197.15,105.683333333,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,11,126.466666667,179.216666667,170.166666667,165.516666667,151.883333333,177.3,177.566666667,64.8333333333,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,12,160.15,241.1,291.016666667,237.4,138.683333333,213.333333333,236.416666667,87.2333333334,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,13,142.65,212.116666666,252.266666666,281.5,131.5,195.333333333,231.683333334,110.65,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,14,114.933333333,109.2,142.966666667,93.6333333334,100.983333333,141.8,109.85,118.566666667,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,15,131.533333333,144.35,140.5,137.883333333,127.25,117.616666667,142.416666667,100.633333333,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,16,173.35,174.3,185.983333333,154.116666667,129.983333333,130.683333333,197.933333333,66.9333333333,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,17,166.15,197.15,180.5,180.35,144.283333333,128.75,194.65,66.6833333333,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,18,112.783333333,177.566666667,179.216666667,170.166666667,126.466666667,151.883333333,177.3,85.4666666667,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,19,128.35,236.416666667,241.1,291.016666667,160.15,138.683333333,213.333333333,87.1166666667,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,20,105.45,231.683333334,212.116666666,252.266666666,142.65,131.5,195.333333333,123.5,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,21,91.6333333333,109.85,109.2,142.966666667,114.933333333,100.983333333,141.8,131.483333333,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,22,119.383333333,142.416666667,144.35,140.5,131.533333333,127.25,117.616666667,81.1333333334,1,2018
1546,66f8eb41-2ff4-4ff4-b626-1ab2175e9b0c,2018-10-30,Chelum,23,114.583333333,197.933333333,174.3,185.983333333,173.35,129.983333333,130.683333333,120.95,1,2018
1005,c109c29e-e8c1-43f6-9fcd-6a2693c16a55,2018-10-30,Chelum,0,151.566666667,157.15,172.116666667,132.95,171.566666667,181.816666667,166.816666667,77.1833333333,1,2018
1005,c109c29e-e8c1-43f6-9fcd-6a2693c16a55,2018-10-30,Chelum,1,138.416666667,170.516666667,171.483333333,175.366666667,203.016666667,183.25,154.95,72.75,1,2018
1005,c109c29e-e8c1-43f6-9fcd-6a2693c16a55,2018-10-30,Chelum,2,70.2833333333,207.216666667,211.1,156.216666667,213.5,211.766666667,190.95,117.566666667,1,2018
1005,c109c29e-e8c1-43f6-9fcd-6a2693c16a55,2018-10-30,Chelum,3,64.6333333333,202.533333333,195.916666667,82.5333333334,184.116666667,209.85,194.65,81.7333333333,1,2018
1005,c109c29e-e8c1-43f6-9fcd-6a2693c16a55,2018-10-30,Chelum,4,223.716666667,255.15,193.15,70.8333333333,242.866666666,258.0,202.433333333,58.4166666667,1,2018
1005,c109c29e-e8c1-43f6-9fcd-6a2693c16a55,2018-10-30,Chelum,5,247.266666667,303.45,331.483333333,176.733333333,363.183333333,382.466666667,292.15,70.45,1,2018
1005,c109c29e-e8c1-43f6-9fcd-6a2693c16a55,2018-10-30,Chelum,6,157.433333333,151.6,190.1,199.6,219.366666667,233.733333333,182.733333334,89.5666666666,1,2018
1005,c109c29e-e8c1-43f6-9fcd-6a2693c16a55,2018-10-30,Chelum,7,190.966666667,166.816666667,157.15,172.116666667,151.566666667,171.566666667,181.816666667,85.3833333333,1,2018
1005,c109c29e-e8c1-43f6-9fcd-6a2693c16a55,2018-10-30,Chelum,8,164.25,154.95,170.516666667,171.483333333,138.416666667,203.016666667,183.25,112.733333333,1,2018
1005,c109c29e-e8c1-43f6-9fcd-6a2693c16a55,2018-10-30,Chelum,9,181.6,190.95,207.216666667,211.1,70.2833333333,213.5,211.766666667,137.516666667,1,2018
1005,c109c29e-e8c1-43f6-9fcd-6a2693c16a55,2018-10-30,Chelum,10,215.516666667,194.65,202.533333333,195.916666667,64.6333333333,184.116666667,209.85,123.783333333,1,2018
1005,c109c29e-e8c1-43f6-9fcd-6a2693c16a55,2018-10-30,Chelum,11,204.566666667,202.433333333,255.15,193.15,223.716666667,242.866666666,258.0,72.9833333333,1,2018
1005,c109c29e-e8c1-43f6-9fcd-6a2693c16a55,2018-10-30,Chelum,12,280.983333333,292.15,303.45,331.483333333,247.266666667,363.183333333,382.466666667,80.35,1,2018
1005,c109c29e-e8c1-43f6-9fcd-6a2693c16a55,2018-10-30,Chelum,13,188.95,182.733333334,151.6,190.1,157.433333333,219.366666667,233.733333333,92.7333333334,1,2018
1005,c109c29e-e8c1-43f6-9fcd-6a2693c16a55,2018-10-30,Chelum,14,157.983333333,181.816666667,166.816666667,157.15,190.966666667,151.566666667,171.566666667,102.566666667,1,2018
